isHome,shotType,situation,bodyPart,goalMouthLocation,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,player.name,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.gender,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.nameTranslation.bn,player.fieldTranslations.nameTranslation.hi,player.fieldTranslations.shortNameTranslation.ar,player.fieldTranslations.shortNameTranslation.bn,player.fieldTranslations.shortNameTranslation.hi,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalkeeper.name,goalkeeper.firstName,goalkeeper.lastName,goalkeeper.slug,goalkeeper.shortName,goalkeeper.position,goalkeeper.jerseyNumber,goalkeeper.userCount,goalkeeper.gender,goalkeeper.id,goalkeeper.fieldTranslations.nameTranslation.ar,goalkeeper.fieldTranslations.nameTranslation.bn,goalkeeper.fieldTranslations.nameTranslation.hi,goalkeeper.fieldTranslations.shortNameTranslation.ar,goalkeeper.fieldTranslations.shortNameTranslation.bn,goalkeeper.fieldTranslations.shortNameTranslation.hi,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,player.firstName,player.lastName,player.sofascoreId,goalkeeper.sofascoreId,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,match_id,goalType,goal
True,save,assisted,left-foot,low-left,0.063355393707752,0.37227112054825,6894343,37,,2167,9,533,2167,shot,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,3176,M,871765,نيكولاس دومينغيز,নিকোলাস ডোমিংগুয়েজ,निकोलस डोमिन्ग्यूज़,ن. دومينغيز,এন. ডোমিঙ্গুয়েজ,एन. डोमिन्ग्यूज़,19.9,51.9,0,0,54.1,4.4,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,51.9,19.9,45.9,0,45.9,95.6,,,,,0.7,49.5,0.0,49.5,0.7,14023995,,False
True,save,free-kick,right-foot,low-right,0.065550722181797,0.068999476730824,6894320,33,,1968,13,732,1968,shot,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,7160,M,865912,مورغان غيبز-وايت,মরগান গিবস-হোয়াইট,मॉर्गन गिब्स-व्हाइट,م. غيبز-وايت,এম. গিবস-হোয়াইট,एम. गिब्स-व्हाइट,23.7,41.9,0,0,47.5,4.4,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,41.9,23.7,52.5,0,52.5,95.6,,,Morgangibbs27,,1.0,51.3,0.0,51.3,1.0,14023995,,False
True,miss,corner,head,left,0.034505989402533,0.0,6894194,22,,1301,24,1399,1301,shot,Igor Jesus,igor-jesus,I. Jesus,F,19,21396,M,981619,إيغور جيسوس,ইগর জিজাস,इगोर जीसस,إيغور جيسوس,আই. জিজাস,आई. जीसस,9.5,42.3,0,0,68.9,11.1,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,42.3,9.5,31.1,0,31.1,88.9,,,igorjesus,,,,,,,14023995,,False
False,save,set-piece,head,low-centre,0.35504126548767,0.28797698020935,6904010,19,,1085,27,1615,1085,shot,Calvin Bassey,calvin-bassey,C. Bassey,D,3,8627,M,861972,كالفين باسي,ক্যালভিন বাসসি,केल्विन बैसी,ك. باسي,সি. বাসসি,सी. बैसी,6.7,48.5,0,0,50.4,1.9,Matz Sels,,,matz-sels,M. Sels,G,26,2408,M,78152,ماتس سيلس,ম্যাটজ সেলস,मैट्ज़ सेल्स,م. سيلس,এম. সেলস,एम. सेल्स,48.5,6.7,49.6,0,49.6,98.1,,,,,0.59999999999999,50.4,0.0,50.4,0.59999999999999,14023995,,False
True,miss,fast-break,left-foot,right,0.068625219166279,0.0,6894050,10,,561,36,2139,561,shot,Elliot Anderson,elliot-anderson,E. Anderson,M,8,8187,M,994546,إليوت أندرسون,এলিয়ট অ্যান্ডারসন,इलियट एंडरसन,إ. أندرسون,ই. অ্যান্ডারসন,ई. एंडरसन,13.6,67.8,0,0,39.8,2.8,Bernd Leno,,,bernd-leno,B. Leno,G,1,2670,M,103335,بيرند لينو,বার্ন্ড লেনো,बर्न्ड लेनो,ب. لينو,বি. লেনো,बी. लेनो,67.8,13.6,60.2,0,60.2,97.2,,,,,,,,,,14023995,,False
True,block,fast-break,right-foot,low-centre,0.35848182439804,0.0,6897055,90,6.0,5744,1,556,344,shot,Hugo Ekitiké,hugo-ekitike,H. Ekitiké,F,22,100301,M,1048422,هوجو إكيتيكي,হুগো একিটিকে,ह्यूगो एकिटिके,ه. إكيتيكي,এইচ. একিটিকে,एच. एकिटिके,10.2,48.5,0,0,48.4,19.0,Guglielmo Vicario,,,guglielmo-vicario,G. Vicario,G,1,7359,M,553606,فيكاريو غولييلمو,উইলিয়াম দ্য ভিকারিও,गुग्लिल्मो विकारियो,ف. غولييلمو,জি. ভিকারিও,जी. विकारियो,48.5,10.2,51.6,0,51.6,81.0,Hugo Ekitiké,,hekitike,guglielmovicario,5.8,49.8,0.0,49.8,5.8,14023992,,False
False,miss,corner,right-foot,left,0.02951218187809,0.0,6897052,90,6.0,5731,1,569,331,shot,Pedro Porro,pedro-porro,P. Porro,D,23,11022,M,913654,بيدرو بورو,পেড্রো পোরো,पेड्रो पोरो,ب. بورو,পি. পোরো,पी. पोरो,13.8,66.5,0,0,65.0,2.8,Alisson,,,alisson,Alisson,G,1,64426,M,243609,أليسون,অ্যালিসন,एलिसन,أليسون,অ্যালিসন,एलिसन,66.5,13.8,35.0,0,35.0,97.2,,,pedroporro29,AlissonBecker,11.4,61.0,0.0,61.0,11.4,14023992,,False
False,goal,assisted,right-foot,low-left,0.3645715713501,0.41262724995613,6896900,90,,5347,1,53,2647,shot,Richarlison,richarlison,Richarlison,F,9,43888,M,840217,ريتشارليسون,রিচার্লিসন,रिचर्डसन,ريتشارليسون,রিচার্লিসন,रिचर्डसन,10.6,44.5,0,0,52.3,1.9,Alisson,,,alisson,Alisson,G,1,64426,M,243609,أليسون,অ্যালিসন,एलिसन,أليسون,অ্যালিসন,एलिसन,44.5,10.6,47.7,0,47.7,98.1,,,Richarlison,AlissonBecker,,,,,,14023992,regular,True
False,save,assisted,right-foot,low-right,0.02130045928061,0.045880559831858,6896889,88,,5255,3,145,2555,shot,Xavi Simons,xavi-simons,X. Simons,M,7,49936,M,997183,تشافي سيمونز,জাভি সিমন্স,ज़ावी सिमंस,ت. سيمونز,এক্স. সিমন্স,एक्स. सिमंस,23.2,32.8,0,0,48.0,4.4,Alisson,,,alisson,Alisson,G,1,64426,M,243609,أليسون,অ্যালিসন,एलिसन,أليسون,অ্যালিসন,एलिसन,32.8,23.2,52.0,0,52.0,95.6,,,XaviSimons,AlissonBecker,1.4,48.2,0.0,48.2,1.4,14023992,,False
True,miss,regular,left-foot,right,0.042934916913509,0.0,6896863,85,,5070,6,330,2370,shot,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,78220,M,869856,دومينيك سوبوسلاي,ডমিনিক সোবোসজলাই,डोमिनिक स्ज़ोबोस्ज़लाई,د. سوبوسلاي,ডি.সোবোসজলাই,डी. स्ज़ोबोस्ज़लाई,21.3,66.7,0,0,40.5,1.4,Guglielmo Vicario,,,guglielmo-vicario,G. Vicario,G,1,7359,M,553606,فيكاريو غولييلمو,উইলিয়াম দ্য ভিকারিও,गुग्लिल्मो विकारियो,ف. غولييلمو,জি. ভিকারিও,जी. विकारियो,66.7,21.3,59.5,0,59.5,98.6,,,DomSzobo,guglielmovicario,,,,,,14023992,,False
